 Bond orders with absolute value >=  0.050000
 Atom    19(C ) :    3.93502105    0.00000000
 Atom    20(C ) :    3.67644119    0.00000000
 Atom    21(C ) :    3.74125920    0.00000000
 Atom    22(C ) :    3.76595342    0.00000000
 Atom    23(C ) :    3.83929937    0.00000000
 Atom    24(C ) :    3.69796482    0.00000000
 Atom    25(H ) :    0.95196814    0.00000000
 Atom    26(H ) :    0.94077361    0.00000000
 Atom    27(H ) :    0.95821499    0.00000000
 Atom    28(H ) :    0.96538961    0.00000000
 Atom    29(H ) :    0.96705432    0.00000000
 Atom    30(H ) :    0.94430259    0.00000000
 Atom    31(H ) :    0.94383684    0.00000000
 Atom    32(H ) :    0.95580595    0.00000000
 Atom    33(H ) :    0.96251116    0.00000000
 Atom    34(H ) :    0.95511778    0.00000000
 Atom    35(H ) :    0.96968984    0.00000000
 Atom    36(H ) :    0.95962972    0.00000000
 Atom    37(H ) :    0.94071771    0.00000000
 Atom    38(H ) :    0.95823617    0.00000000
 Atom    39(H ) :    0.94111730    0.00000000
 Atom    40(H ) :    0.97062948    0.00000000
 Atom    41(H ) :    0.95753184    0.00000000
 Atom    42(H ) :    0.95336106    0.00000000
 Atom    43(H ) :    0.94512395    0.00000000
 Atom    44(H ) :    0.98854820    0.00000000
 Atom    45(H ) :    0.94355039    0.00000000
 Atom    46(H ) :    0.93400944    0.00000000
 Atom    47(H ) :    0.96311679    0.00000000
 Atom    48(H ) :    0.94132142    0.00000000
 Atom    49(H ) :    0.95495673    0.00000000
 Atom    50(H ) :    0.95945322    0.00000000
 Atom    51(H ) :    0.94405577    0.00000000
 Atom    52(H ) :    0.96962521    0.00000000
 Atom    53(H ) :    0.97299692    0.00000000
 Atom    54(H ) :    0.94824847    0.00000000
 Atom    55(H ) :    0.95380574    0.00000000
 Atom    56(H ) :    0.95362505    0.00000000
 Atom    57(H ) :    0.95793633    0.00000000
 Atom    58(H ) :    0.95361713    0.00000000
 Atom    59(H ) :    0.95245030    0.00000000
 Atom    60(H ) :    0.95143356    0.00000000
 Atom    61(H ) :    0.95895141    0.00000000
 Atom    62(H ) :    0.95386328    0.00000000
 Atom    63(H ) :    0.95941410    0.00000000
 Atom    64(H ) :    0.95966889    0.00000000
 Atom    65(H ) :    0.96154519    0.00000000
 Atom    66(H ) :    0.95474816    0.00000000
 Atom    67(H ) :    0.95603535    0.00000000
 Atom    68(H ) :    0.95824633    0.00000000
