graph_alias,src,dst,bond_idx,a1,a2,distance,bo_mayer_abs,bo_wiberg,bo_mull
C26,25,73,75,25,73,1.095791436957325,0.8405338712904891,1.008474289519389,0.9836034977735735
C2822R,0,1,0,0,1,1.533467506380556,1.126689289243772,1.219374456527131,1.1303471630828
C2822R,0,4,1,0,4,1.531883967661063,1.04690298775226,1.038167192078672,0.746866333130285
C2822R,0,28,2,0,28,1.097085187945767,0.9452562704630043,0.9237049045831934,0.6504294600793123
C2822R,0,29,3,0,29,1.095135471195231,0.9756794372365302,0.975723376247224,0.993374062262108
C2822R,1,2,4,1,2,1.531186758530128,1.060215919331377,1.141276309641272,0.9025579855520094
C2822R,1,30,5,1,30,1.096786378502669,0.8754712835780479,1.02013198548552,0.8121711569738841
C2822R,1,31,6,1,31,1.09859327863318,0.7811810341426909,1.131339059497058,1.190338015767976
C2822R,2,3,7,2,3,1.521773987440316,0.6867935402923803,1.104935540971019,1.069644327044691
C2822R,2,32,8,2,32,1.097581899021207,0.9380303536393361,0.9559107297267315,0.954588655806983
C2822R,2,33,9,2,33,1.095831765105392,1.063435370156831,1.009338619793923,0.8320785405119314
C2822R,3,34,10,3,34,1.092677415693214,0.9156757016532775,1.060536887613326,0.7146299828075424
C2822R,3,35,11,3,35,1.095258299157327,0.8836403516320557,0.9701930147130757,1.16391223833093
C2822R,3,36,12,3,36,1.095207574305437,0.8881449079773188,0.9221886185079247,0.5353656250257881
C2822R,4,5,13,4,5,1.547882704228586,0.8078074538754562,1.309774939652654,0.8670837395121526
C2822R,4,37,14,4,37,1.096009014732087,0.8969505748366992,0.7619357204140634,0.91949035780521
C2822R,4,38,15,4,38,1.097209355201641,0.9488303352971378,1.000339730290763,0.8668290712248037
C2822R,5,6,16,5,6,1.531849108913146,1.232154447930432,0.7987014122346237,0.691784934559783
C2822R,5,7,17,5,7,1.547953044977786,0.7791024127257921,1.238090969758415,1.002436080029622
C2822R,5,39,18,5,39,1.097528032203734,0.825961137215956,0.6998490217248112,0.9539635948623266
C2822R,6,40,19,6,40,1.095057594158864,0.9942101616805668,0.9281710543454729,0.9609268241752267
C2822R,6,41,20,6,41,1.095385055936496,0.9716677437291558,1.050397248908567,0.6896774546715563
C2822R,6,42,21,6,42,1.089707130644284,1.087686551321109,0.9285998702110975,0.7147352552830685
C2822R,7,8,22,7,8,1.543013241682002,0.8340697536910998,1.054651005261054,1.159219037399205
C2822R,7,43,23,7,43,1.093422182625266,0.8933334292488873,0.9056163569843036,0.3332477215397375
C2822R,7,44,24,7,44,1.096033685594562,0.9745864845924709,0.8917197234369179,0.881926842547361
C2822R,8,9,25,8,9,1.557248652632584,0.8722802512872272,0.9974427638947675,0.965686050023826
C2822R,8,45,26,8,45,1.092118884753853,0.9381959400082077,1.28106208243009,0.5309546747287738
C2822R,8,46,27,8,46,1.098844441515267,0.8493570732983589,0.8364120333575501,0.9259448939849949
C2822R,9,10,28,9,10,1.566591891185768,0.9132737279682245,1.074751490126142,1.032532617009853
C2822R,9,14,29,9,14,1.601633965710018,0.9979496073560992,1.191052583659979,0.9414104282185684
C2822R,9,47,30,9,47,1.097083777518381,1.138455404246514,1.022544244542671,0.5334821818201877
C2822R,10,11,31,10,11,1.533410122502783,0.9653874528413278,0.9451961985465239,0.882690261652843
C2822R,10,27,32,10,27,1.532593655118342,0.9466559021963062,1.090047114255371,0.9688058760205029
C2822R,10,48,33,10,48,1.097330460532742,1.12055747462275,1.034989913336302,0.4869001226444371
C2822R,11,12,34,11,12,1.522434924954758,1.086588984501478,0.7147491541075545,0.8446863077373715
C2822R,11,49,35,11,49,1.097018926283408,0.9370713059154575,0.9361043525413628,0.666735938356058
C2822R,11,50,36,11,50,1.097512794499454,0.83354997786634,0.9369397306065281,0.7516596445254924
C2822R,12,13,37,12,13,1.541152662037411,1.095114696029016,1.113320502153945,0.7775416484580203
C2822R,12,51,38,12,51,1.093416433539391,1.001713490998863,1.195157530433617,0.9525659415542004
C2822R,12,52,39,12,52,1.093625738538555,0.9853682494252202,0.9556729186728057,0.4339223368710154
C2822R,13,14,40,13,14,1.579591912760381,1.221132459759841,1.237666288786971,0.9325981440751807
C2822R,13,18,41,13,18,1.592263597512045,0.9293719721003944,0.9750964141332924,0.4722842699892399
C2822R,13,53,42,13,53,1.103169216587827,0.8464528637428909,1.102528946136211,0.8739246830737666
C2822R,14,15,43,14,15,1.553784149867993,0.7771285762491592,1.003297554648153,1.194865549250139
C2822R,14,26,44,14,26,1.549653700077859,0.8845970202714437,1.178286664776595,0.8237882791123423
C2822R,15,16,45,15,16,1.530732915527069,0.8763536019801061,1.131142509519105,0.8120432962037045
C2822R,15,54,46,15,54,1.095797666307973,1.143187572830712,0.8771028315998061,0.9426200066407938
C2822R,15,55,47,15,55,1.095053443190331,0.8194451368426073,0.9729814902450685,0.5467596303635668
C2822R,16,17,48,16,17,1.537914878659089,1.006287022431394,0.9370563153104479,1.03179488955077
C2822R,16,56,49,16,56,1.094658307413323,0.8794204542247924,0.9209037533536456,0.5910340003401522
C2822R,16,57,50,16,57,1.093268452472219,0.8388615909193486,0.9019170887782012,0.6389716116176111
C2822R,17,18,51,17,18,1.573731825504587,1.042794592806965,1.240642345383028,1.16593208878887
C2822R,17,22,52,17,22,1.569953035861583,1.088402560327378,1.026535006086317,1.007772914708482
C2822R,17,58,53,17,58,1.103547763266729,0.8423911963018634,0.8643581702271019,0.7430600011710131
C2822R,18,19,54,18,19,1.560714899071896,1.149477138570525,0.9376331146729013,0.5503847703267228
